brush,Leo needs a big _ _ _ _ _ to paint his room.刷子
bug,Look! There is a _ _ _ on Tim’s T-shirt.小蟲
build,The apartment was _ _ _ _ _ twenty years ago.建造
bun,We usually have _ _ _s with butter and jam for breakfast.小圓麵包
burn,"David’s house _ _ _ _t down last week, so he is staying with me now.燃燒"
bus,"I missed the _ _ _ this morning, so I took a taxi to school.公車"
business,I want to start my own _ _ _ _ _ _ _ _ in the future.生意
businessman,"My father is a _ _ _ _ _ _ _ _ _ _ _, and my mother is a teacher.商人"
busy,"Caroline tried the wine, _ _ _ she didn’t like it.忙碌的"
but,Students are always _ _ _ _ with homework.但是
butter,He is putting some _ _ _ _ _ _ on the bread.奶油
butterfly,Taiwan is famous for its rare _ _ _ _ _ _ _ _ _s.蝴蝶
buy,I _ _ _ght a sandwich for lunch.買
by,We go to school _ _ bus every day藉著
cage,My dad made a _ _ _ _ for our pet bird.籠子
cake,I bought myself a birthday _ _ _ _.蛋糕
call,"If you need anything, just _ _ _ _ me.打電話"
camera,I like to take pictures with my _ _ _ _ _ _.照相機
camp,The army had to _ _ _ _ near the mountains for the night.露營
can,He _ _ _ speak English very well.能夠
candle,There are five _ _ _ _ _ _s on his birthday cake.蠟燭
candy,Too much _ _ _ _ _ is not good for you.糖果
cap,Wearing a _ _ _ can keep your head warm in winter.帽（無邊）
car,She got into the _ _ _ and drove home.車子
card,Betty writes me a birthday _ _ _ _ every year.卡片
care,Mom didn’t sleep last night because she had to _ _ _ _ for my sick sister.照顧；關心
careful,Be _ _ _ _ _ _ _ when you cross the road.仔細的
carry,The man _ _ _ _ _ed his child to the hospital.攜帶
case,I agree with you in this _ _ _ _.情形
castle,The king and queen live in the old _ _ _ _ _ _.城堡
cat,A _ _ _ meows when it is hungry.貓
catch,I could _ _ _ _ _ that ball if you threw it slowly.接（抓）；住；趕上
celebrate,We _ _ _ _ _ _ _ _ _d Mom’s birrthday by going to a restaurant.慶祝
cell phone,Please don’t use your _ _ _ _  _ _ _ _ _ during dinner.手機
cent,I need a few more _ _ _ _s to be able to take the bus.一分錢
center,There is a huge table in the _ _ _ _ _ of the living room.中央；中心
centimeter,There are a hundred _ _ _ _ _ _ _ _ _ _s in a meter.公分
chair,Could you get a _ _ _ _ _ for Ethan?椅子
chalk,I like using _ _ _ _ _ to draw pictures on the ground.粉筆
chance,I wish I had a _ _ _ _ _ _ to speak to him.機會
change,David _ _ _ _ _ _s jobs every year.換
cheap,These dresses were very _ _ _ _ _ when thwy were on sale.便宜的
cheat,It’s not right to _ _ _ _ _ on the test.作弊；欺騙
check,Please _ _ _ _ _ the windows.檢查
cheer,We all _ _ _ _ _ for the winner.歡呼
cheese,We had _ _ _ _ _ _ and bread as a snack.乳酪
chess,You need to think very hard when you play _ _ _ _ _.西洋棋
chicken,I want _ _ _ _ _ _ _ and rice for dinner.雞（肉）
child,The _ _ _ _ _ couldn’t find his parents and started to cry.小孩
China,Rice is the primary food for the people of southern _ _ _ _ _.中國
Chinese,Andy came to Taiwan to study _ _ _ _ _ _ _.中文；中國人
chocolate,He gave me a box of _ _ _ _ _ _ _ _ _ as a birthday gift.巧克力
choose,Linda _ _ _ _ _ _ pink dress to wear to the party.選擇
chopsticks,Helen can use_ _ _ _ _ _ _ _ _ _ very well.筷子
Christmas,I celebrate every _ _ _ _ _ _ _ _ _ at home with my family.聖誕節
church,Some people go to _ _ _ _ _ _ every Sunday.教堂
circle,We held each other’s hands and made a _ _ _ _ _ _ around the teacher.圓圈
city,New Taipei _ _ _ _ is the largest _ _ _ _ in Taiwan.城市
clap,They _ _ _ _ ed loudly at the end of the show.拍手
class,There are thirty students in my _ _ _ _ _.班級
classmate,He and I were _ _ _ _ _ _ _ _ _ in high school.同班同學
classroom,There are thirty desks in the _ _ _ _ _ _ _ _ _.教室
clean,_ _ _ _ _ up your room.整理；打掃
clear,The report gave everyone a _ _ _ _ _ idea of the project.清楚的
clerk,My father is an office _ _ _ _ _店員；職員
climb,_ _ _ _ _ over the mountain and you will find the river.爬
clock,The _ _ _ _ _ in the living room says it is ten o’clock.時鐘
close,Please _ _ _ _ _ the door when you leave.關上
clothes,"In China, people go out in their best _ _ _ _ _ _ _ on Chinese New Year’s Day衣服"
cloudy,It’s very _ _ _ _ _ _. It looks like it’s going to rain.多雲的
club,He joined the school’s guitar _ _ _ _.社團
coat,It’s cold outside. Put on your _ _ _ _.大衣
coffee,Would you like your _ _ _ _ _ _ black.咖啡
Coke,"A midium _ _ _ _, please.可樂"
cold,I wear hats and scarves when it is _ _ _ _. 寒冷的
collect,Emily _ _ _ _ _ _ _ coins from around the world.收集
color,The shirt comes in seven different _ _ _ _ _ s.顏色
comb,I always carry a _ _ _ _ in my bag.梳子
come,When will you _ _ _ _ back.來
comfortable,I like your sofa. It’s very _ _ _ _ _ _ _ _ _ _ _. 舒適的
comic,Jack reads _ _ _ _ _s as a past time.連環漫畫
common,It is very _ _ _ _ _ _ to see people in Taiwan eating rice.普遍的
computer,Some children spend too much time plaing _ _ _ _ _ _ _ _ games.電腦
convenient,It is _ _ _ _ _ _ _ _ _ _ to live near an MRT station.方便的
cook,There are many different ways to _ _ _ _ rice. 烹調；煮
cookie,I like to make _ _ _ _ _ _s when I have free time.餅乾
cool,Drinking cold water makes me feel _ _ _ _ in the summer.涼爽的
copy,I never _ _ _ _ other students’ answers when I take exams.抄襲；複製
corner,There is a bookstore on the _ _ _ _ _ _.角落
correct,His answer was _ _ _ _ _ _ _. 正確的
cost,A car will _ _ _ _you a lot of money.需花費
couch,I like to lie on _ _ _ _ _ to watch TV.長沙發
count,Don’t forger to _ _ _ _ _ your change.計算
country,Jessie has visited many different _ _ _ _ _ _ _s.國家
course,This math _ _ _ _ _ _ is very hard. 課程
cousin,I usually visit my _ _ _ _ _ _s during the holidays.堂（表）兄弟姊妹
cover,_ _ _ _ _ the water; it’ll boil quicker.覆蓋；擋護
cow,We get fresh milk from our _ _ _ every morning.母牛
cowboy,He wants to be a _ _ _ _ _ _.牛仔
crazy,"If you think you can save money without having a job,you’re _ _ _ _ _ . 瘋狂的"
cross,I helped an old woman _ _ _ _ _ the road.越過
cry,The sad story made me _ _ _.哭
cup,Anna would like a _ _ _ of tea.茶杯
cut,He _ _ _ his sandwich in half so he could share it with Judy.切
cute,Your baby brother is really _ _ _ _. 可愛的
dance,Would you like to _ _ _ _ _ with me?跳舞
dangerous,It’s _ _ _ _ _ _ _ _ _ to ride a scooter without a helmat.危險的
dark,It’s getting _ _ _ _. Let’s go home.黑暗的
date,What _ _ _ _ is it today?日期
daughter,My grandparents have three _ _ _ _ _ _ _ _ but no sons.女兒
day,There are seven _ _ _s in a week.日子
dead,The tree had no leaves because it was _ _ _ _.死的
dear,I always send cards to my _ _ _ _ friends before Christmas.親愛的
December,My brother was born in _ _ _ _ _ _ _ _.十二月
decide,They’ve _ _ _ _ _ _ed on Paris for their next vacation.決定
delicious,I like to go to this restaurant because the food is _ _ _ _ _ _ _ _ _.美味的
dentist,"My tooth hurt, so I went to a _ _ _ _ _ _ _.牙醫"
department store,Macy’s was the first American _ _ _ _ _ _ _ _ _ _  _ _ _ _ _.百貨公司
desk,Brett wants to buy a _ _ _ _ so he can work at home.書桌
dictionary,"To find out what this word means, I looked it up in a _ _ _ _ _ _ _ _ __.字典"
die,I would _ _ _ to save her.死掉
different,Tom wears a _ _ _ _ _ _ _ _ _ shirt to work every day.不同的
difficult,I don’t know the answer. The question is too _ _ _ _ _ _ _ _ _.困難的
dig,My dad and I _ _ _ a hole and planted a tree.挖掘
dining room,Dad is eating breakfast in the _ _ _ _ _ _  _ _ _ _.飯廳
dinner,Mom usually cooks _ _ _ _ _ _ at 6 p.m.晚餐
dirty,Your shoes are _ _ _ _ _! Please take them off before entering the house.骯髒的
dish,My brother always does the _ _ _ _es after dinner.盤子；菜餚
do,Gary couldn’t _ _any running practice because his knee hurt.做
doctor,My father is a _ _ _ _ _ _. He has his own clinic in a small town.醫生
dodgeball,_ _ _ _ _ _ _ _ _ is an exciting sport.躲避球
dog,I hear our _ _ _ barking.狗
doll,A _ _ _ _ is a toy that is made to look like a person.洋娃娃
dollar,He wrote me a check for five thousand _ _ _ _ _ _s.元
door,"The _ _ _ _ was already open, so I decided to walk in.門"
dot,The teacher put a _ _ _ next to the name of each student that was absent.點
down,He looked _ _ _ _ at her.向下
dozen,I would like a _ _ _ _ _ eggs.一打
dragon,There are many stories about _ _ _ _ _ _s in China.龍
draw,My son _ _ _ _ a picture of me.畫
drawer,Please put the socks in the bottom _ _ _ _ _ _.抽屜
dream,I believe my _ _ _ _ _ will come true if I work hard.夢；夢想
dress,My sister got married in my mother’s old wedding _ _ _ _ _.洋裝
drink,I _ _ _ _ _ two cups of coffee this morning.喝
drive,It’s dangerous to _ _ _ _ _ too fast.駕駛
driver,He is the _ _ _ _ _ _ of the bus.駕駛人
drop,The girl _ _ _ _ped the glass and it broke into pieces.掉落
drum,My young brother makes a lot of noise playing his _ _ _ _.鼓
dry,The wood is _ _ _ enough for burning.乾的
duck,We have two _ _ _ _s in our pond.鴨
dumpling,_ _ _ _ _ _ _ _s are cooked in boiling water .包餡食物；餃子
during,"_ _ _ _ _ _ the Mid-Autumn Festival, we eat mooncakes and pomelos.在...期間"
each,I cut pie into pieces and gave one to _ _ _ _ of the children.每一(的)
ear,The hearing in Grandma’s right _ _ _ is very bad.耳朵
early,"I didn’t catch the bus this morninig 
because it was five minutes _ _ _ _ _.早的"
earth,It is the biggest lake on _ _ _ _ _.地球
east,The sun rises in the _ _ _ _.東方
Easter,_ _ _ _ _ _ is not a national holiday in the US.復活節
easy,The exam was so _ _ _ _ that everyone passed it.容易的
eat,I am so hungry that I could _ _ _ a horse.吃
egg,I prefer boiled _ _ _s tot fried _ _ _s.蛋
eight,There are _ _ _ _ _ pigs on the farm.八
eighteen,There are _ _ _ _ _ _ _ _ students in the classroom.十八
eighth,He came _ _ _ _ _ _ in the classroom.第八
eighty,Ed’s grandfather is _ _ _ _ _ _ years old.八十
either,I don’t like cats and I don’t like dogs _ _ _ _ _ _.任一的
elementary school,There is only one _ _ _ _ _ _ _ _ _ _  _ _ _ _ _ _ in my town.小學
elephant,The _ _ _ _ _ _ _ _ is the biggest land animal.大象
eleven,A soccer team is made up of _ _ _ _ _ _ people.十一
eleventh,My dad is the _ _ _ _ _ _ _ _ child in his family.第十一
else,"It didn’t work, try something _ _ _ _.其他的"
email,I got an _ _ _ _ _ from July last week.電子郵件
end,I don’t know how to _ _ _ this story.結束
engineer,My aunt is an _ _ _ _ _ _ _ _. She can fix any kind of machine.工程師
English,I can speak _ _ _ _ _ _ _ well.英語
enjoy,_ _ _ _ _ your vacation in Japan.享受；喜愛
enough,Do you have _ _ _ _ _ _ _ money to buy this computer?足夠的
enter,Please knock before you _ _ _ _ _ someone’s room.進入
envelope,Please put the letter into the _ _ _ _ _ _ _ _.信封
eraser,Frank used an _ _ _ _ _ _ to change his answer.橡皮擦
eve,Let’s have a party on New Year’s _ _ _.前夕
even,"This music is so quiet, I couldn’t _ _ _ _ hear it.甚至"
evening,I always go to the movies on Friday _ _ _ _ _ _ _.傍晚
ever,Have you _ _ _ _ been to China?曾經
every,_ _ _ _ _ player practiced hard before the game.每一個(的)
everybody,"Mr. Jones is a good teacher, _ _ _ _ _ _ _ _ _ likes her a lot.每個人"
everything,Don’t worry! I have _ _ _ _ _ _ _ _ _ _ under control.每件事
example,I don’t understand what you mean. Could you give me some _ _ _ _ _ _ _s.例子
excellent,I always feel _ _ _ _ _ _ _ _ _ when it’s a sunny day. 極好的
except,Every girl is wearing a skirt _ _ _ _ _ _ Anne.除了...之外
excited,The children are _ _ _ _ _ _ about going to their grandparents’ farm.感到興奮的
exciting,Skiing looks _ _ _ _ _ _ _ _. Do you want to give it a try.令人興奮的
excuse,Please _ _ _ _ _ _ me for being late.原諒
exercise,Do at least 15 minutes of _ _ _ _ _ _ _ _ each day. 運動
expensive,Your watch looks very _ _ _ _ _ _ _ _ _ .昂貴的
experience,A trip to America was a great _ _ _ _ _ _ _ _ _ _.經驗
eye,The baby closed his _ _ _s and fell asleep at once.眼睛
face,She has the most beautiful _ _ _ _ I have ever seen.臉孔
fact,The _ _ _ _ is that she has no idea what happened.事實
factory,A lot of things are made in _ _ _ _ _ _ _ .工廠
fail,"If you _ _ _ _, I will be very sad.失敗"
fall,"During _ _ _ _, the leaves change colors.秋天"
family,I only see my _ _ _ _ _ _ on weekends.家人；家庭
famous,Thomas Edison was a _ _ _ _ _ _ American scientist. 有名的
fan,She is a big _ _ _ of classcal music.擁護者；扇子
far,Let’s walk back home. It’s not _ _ _.遠的
farm,He likes to live a simple life on the _ _ _ _ .農場
farmer,My uncle is a hard-working _ _ _ _ _ _ .農夫
fast,He can run very _ _ _ _.快的
fat,You’ll get _ _ _ if you eat too much food.胖的
father,My _ _ _ _ _ _ loves me very much.父親
favorite,My _ _ _ _  subject is math.最喜愛的
February,The spring semester will start in _ _ _ _ _ _ _ _.二月
feed,Don’t forget to _ _ _ _ my dog while I am away.餵
feel,I _ _ _ _ much better after taking the medicine.覺得
festival,"Chinese New Year is the most important
 _ _ _ _ _ _ _ _ for the Chinese.節慶"
fever,He had a high _ _ _ _ _ yesterday.發燒
few,_ _ _ people came to Mary’s dinner party.少數的
fifteen,_ _ _ people came to Mary’s dinner party.十五
fifteenth,Today is March _ _ _ _ _ _ _ _ _.第十五
fifth,There is a Chinese restaurant on the _ _ _ _ _ floor.第五
fifty,_ _ _ _ _ is half of one hundred.五十
fight,There were two students _ _ _ _ _ing in the classroom.打架
fill,The water _ _ _ _ed my glass with water.裝滿
finally,I _ _ _ _ _ _ _ realized what the story meant.最後
find,I will see what I can _ _ _ _.找到
fine,The sun is out. It’s going to be a _ _ _ _ day.很好的
finger,My sister has long _ _ _ _ _s and can play the piano well.手指
finish,I’m happy that I’ve finally _ _ _ _ _ _ed my homework. 完成
fire,The forest _ _ _ _ was put out.火災
first,This is my _ _ _ _ _ visit to Tainan.第一
fish,There are many kinds of _ _ _ _ in the river.魚
fisherman,The _ _ _ _ _ _ _ _ _ is happy that he caught a lot of fish.漁夫
five,We work_ _ _ _ days a week. 五
fix,My TV is broken. Can you  _ _ _it for me.修理
floor,I sweep the _ _ _ _ _ once a week.地板
flower,We plant different_ _ _ _ _ _s in spring. 花朵
flute,The sound of a_ _ _ _ _ is like the sound  of a bird.笛子
fly,Most of birds can _ _ _. 飛
follow,_ _ _ _ _ _ this road and you’ll see the bank.跟隨；遵循
food,The doctor wants me to eat _ _ _ _ that is good for me.食物
foot,You steeped on my _ _ _ _!腳
for,Alex forgot to buy a birthday present _ _ _ Robert.為了
foreign,_ _ _ _ _ _ _ cars are more expensive than local cars.外國的
foreigner,_ _ _ _ _ _ _ _ _ in Taipei often complain about the traffic.外國人
forget,Let me write it down before I _ _ _ _ _ _ it.忘記
fork,I use a knife and _ _ _ _ to eat.叉子
forty,My dad will be _ _ _ _ _ next week.四十
four,We need _ _ _ _ people to move the table.四
fourteen,There are _ _ _ _ _ _ _ _ books on his desk.十四
fourteenth,My birthday is on the _ _ _ _ _ _ _ _ _ _ of May.第十四
fourth,Scott came in _ _ _ _ _ _ in the race.第四
fox,The _ _ _ is famous for its thick tail.狐狸
free,I got some _ _ _ _ movie tickets form my dad.免費的；空閒的
French fries,I ordered a burger and _ _ _ _ _ _  _ _ _ _ _.炸薯條
fresh,I usually put food in the fridge to keep it _ _ _ _ _.新鮮的
Friday,He’ll arrive on _ _ _ _ _ _.星期五
friend,Johnny is a close _ _ _ _ _ _ of mine.朋友
friendly,He gave me a _ _ _ _ _ _ _ _ smile. 友善的
Frisbee,He is throwing a _ _ _ _ _ _ _ for his dog to catch.飛盤
frog,_ _ _ _s spend most of their time around water.青蛙
from,Oliver is _ _ _ _ Australia.從
front,The _ _ _ _ _ door was left open by the student.前面的
fruit,_ _ _ _ _and vegetables are good for you.水果
fry,"First, _ _ _ the onions in a little butter.炒；油炸"
full,"My English homework is _ _ _ _ of mistakes,全部"
fun,My friends and I had a lot of _ _ _ at the party last night.樂趣
funny,My dad can tell _ _ _ _ _ jokes.好笑的
future,We will have a bright _ _ _ _ _ _ if we work hard.未來
game,My dad took me out to a ball _ _ _ _ last Sunday.比賽；遊戲
garbage,It is my job to take out the _ _ _ _ _ _ _ every night.垃圾
garden,My father likes to plant flowers _ _ _ _ _ _ in our garden.花園
gas,The worker turned on the _ _ _ .瓦斯
gate,The front _ _ _ _ of the school is not open on weekends .大門
get,She was so happy to _ _ _ her university degree.得到
ghost,Some people believe in _ _ _ _ _s.鬼
giant,The story is about a girl and a friendly _ _ _ _ _.巨人；巨大的
gift,It’s a bitrhday _ _ _ _ from my girlfriend.禮物
girl,The _ _ _ _ in the red dress is my daughter.女孩
give,Jenny _ _ _ _ me her desk since she didn’t need it anymore.給予
glad,I’m very _ _ _ _ that you came to my wedding.高興的
glass,These plates are made of _ _ _ _ _.玻璃；玻璃杯
glasses,I  can’t see clearly without my _ _ _ _ _ _ _.眼鏡
glove,I wear _ _ _ _ _s to keep my hands warm.手套
glue,Peter put too much _ _ _ _ on the paper and got some on his finger.膠水
go,It’s late. You should _ _ to bed now去
goat,_ _ _ _s are very good at jumping up and down hills.山羊
good,_ _ _ _ books help us learn.好的
goodbye,Mandy kissed her grandma _ _ _ _ _ _ _.再見
goose,The _ _ _ _ _ we had for lunch was very delicious.鵝肉；鵝
grade,Don’t take your ______s too seriously.成績；年級
gram,This bottle weighs five _ _ _ _s.公克
grandfather,My _ _ _ _ _ _ _ _ _ _ _ _ was a pilot when he was young.祖父
grandmother,My _ _ _ _ _ _ _ _ _ _ _ _ is 78 years old.祖母
grape,Wine is made from _ _ _ _ _s.葡萄
grass,Don’t walk on the _ _ _ _ _.草
gray,The boy wore a _ _ _ _ coat.灰色的
great,It’s _ _ _ _ _ that we don’t have any tests today.很棒的
green,My teacher is wearing a _ _ _ _ _ dress.綠色的
ground,The cat jumped out of the tree and landed on the _ _ _ _ _ _.地面
group,Ms. Lin divided the students into three _ _ _ _ _s.團體
grow,She has _ _ _ _ _ six inches taller.成長；種植
guava,_ _ _ _ _s are tasty and healthy.芭樂
guess,She _ _ _ _ _ed right on the third question.猜想
guitar,I want to learn how to play the _ _ _ _ _ _.吉他
guy,He is a nice _ _ _. I really like him.傢伙
gym,We had a basketball practice in the _ _ _.體育館
habit,You should stop all those bad _ _ _ _ _s.習慣
hair,She has long blonde_ _ _ _.頭髮
half,We walk _ _ _ _ a mile every day.一半
Halloween,Winnie dressed up as Catwoman for _ _ _ _ _ _ _ _ _.萬聖節
ham,_ _ _ is made of pork.火腿
hamburger,_ _ _ _ _ _ _ _ _s are often eaten with ketchup.漢堡
hand,We always hold _ _ _ _s when we pray at the table.手
handsome,"She dreams of marrying a tall, _ _ _ _ _ _ _ _ young man.英俊的"
hang,"If you _ _ _ _ your coat over there, it will dry much quicker懸掛"
happen,What _ _ _ _ _ _ed in that building?發生
happy,Jane was _ _ _ _ _ that she finally won the game快樂的
hard,The test was too _ _ _ _. Only a few students passed it.困難的；硬的
hard-working,Stephanie is a _ _ _ _-_ _ _ _ _ _ _ student.努力工作的
hat,Take off your _ _ _ when you go inside.帽子
hate," _ _ _ _ to say goodbye, but I have to go.討厭"
have,"I _ _ _ _ ham and cheese, but I don’t _ _ _ _ bread.有"
he,_ _ is my college friend.他
head,Be proud and hold your _ _ _ _ up high.頭
headache,"I had a terrible _ _ _ _ _ _ _ _, so I didn’t go out.頭痛"
health,_ _ _ _ _ is more important than money.健康
healthy,It’s not _ _ _ _ _ _ to eat so much junk food.健康的
hear,I can’t _ _ _ _ you.It’s too noise here. 聽
heart,He has a warm _ _ _ _ _ and always helps people.心
heat,I can’t walk outdoors in the _ _ _ _.熱度
heavy,This table is too _ _ _ _ _ for me move on my own.重的
hello,"_ _ _ _ _, Tina. It’s great to see you.哈囉；你好"
help,Could you _ _ _ _ me move this couch?幫忙
helpful,Thank you for lending me this book. It’s very _ _ _ _ _ _ _.有幫助的
hen,Our _ _ _s laid twenty eggs this morning.母雞
here,There is no one _ _ _ _ by that name.這裡
hey,"_ _ _, Nick. What’s up?嘿"
hi,"_ _, how’s ot gpong today? 嗨"
hide,Jennifer _ _ _ her sister’s doll under the bed.隱藏
high,There is a house on top of the _ _ _ _ hill.高的
hike,I usually go for a _ _ _ _ in the woods on weekends.健行
hill,The church stands on a _ _ _ _ outside the town.小山
hippo,A _ _ _ _ _ is a large animal with a big head and wide mouth.河馬
history,The United States has a _ _ _ _ _ _ _ of over two hundred years.歷史
hit,The car _ _ _ a tree.碰撞；打擊
hobby,My _ _ _ _ _ include playing baseball and using the computer.嗜好
hold,"_ _ _ _ on to your hat, the wind is strong.拿著"
holiday,Chinese New year is an important _ _ _ _ _ _ _ in Taiwan. 節日；假期
home,There is no place like _ _ _ _.家
